status_id,language,sentiment,text
51218884396716032,pl,positive,"Jako, że jest piątek, to zapraszamy do obejrzenia filmu  http://fb.me/NEUrN5fi"
49775154556968960,pl,positive,"Supeer  jeste jedna hodina a jde se domuu  skoda, ze posledni hodina je matika "
49014951771250688,pl,positive,"@kama_k Witam Damę Kamę, czapką podłogę zamiatając w ukłonie głęboki "
49517031913037824,pl,positive,@biebersdear ciesze się 
62764975881592832,pl,positive,@Rosejosie ja daszow 
59664212959559680,pl,positive,@aworqlahh aworq2!!!!! 
60276917080834048,pl,positive,"To se může stát jen @jirimelcak, že mi posílá zaláskovanou DM přes twitter a pošle ji prvnímu followerovi (chlapovi), co běží kolem "
60241744821886976,pl,positive,@playful_swagg aha &gt;___&lt; wyd.? 
51504199900479488,pl,positive,@daganizzle 'twas funny  lol
48913215723274240,pl,positive,@nanizniz cek DM ya! 
50276408894820354,pl,positive,@brandy_alex отрастай 
60139269355864064,pl,positive,@kiiiru obgg 
50540468731260928,pl,positive,@rochio_cm ahh okii  la buskre.. grax 
51366453621948417,pl,positive,"@CentrumFFJB Ok ok, czekam "
59656501131886592,pl,positive,wywaliłam z siebie emocje i już mi pare followersów przybyło.  ale... co mi tam zależy.  pff .
50166784803868673,pl,positive,http://bit.ly/icotJU - Autokorrektur. 
56363365165056000,pl,positive,Nisu je lako odabrati: biras neku od praznih 
61658243117760512,pl,positive,@abyanbramantyo maaci abyyy aminn 
57517578683293696,pl,positive,siemcia ! 
49626884635508737,pl,positive,Crl ta zika o role hj 
50621420602011648,pl,positive,@NacNice nm yuu. 
57107506337546240,pl,positive,@CarameloSueno to jak dostaniesz od razu link tu prosze dac  zazdroszce aaaa na pewno byl boski skoro hiszpan xD
59705043586260992,pl,positive,úr isten Jerzy ment vissza!!!!! 
59567095914037248,pl,positive,"@zazAdzania ,, nnt qt blj via ‎​ввм y :* .. Libur dlu y konfrens w/ @Nadacintaa @billaa190790 "
57713994693218304,pl,positive,@sadmanh okie dokie..bye 
60003748088524801,pl,positive,Nada  Ok Nada 
57005506769862657,pl,positive,Photo: YUMMY  http://tumblr.com/xek229do9e
51468792424964097,pl,positive,"amigas em csa,taty e kryss "
57553306406490112,pl,positive,@jjaby16 
62187212158156800,pl,positive,@Leanuccia Ahhh ok 
11640644418142208,pl,positive,"lg d toko , pngn jaga toko dlu , wkwk "
56681677002510336,pl,positive,"duCh rok0k.a abie5 Lg niCh,, pd4haL mu bok3r gy,, wkakaka "
48377012062134272,pl,positive,"&lt;allegro&gt; Sprzedam karabin francuski z II wojny światowej. Nie używany, raz rzucony na ziemię. "
60279697933746176,pl,positive,"@BranciKovac je to mozne, mne to znelo uplne identicky ale ty mas urcite lepsie info "
58710786062819328,pl,positive,@elizam75 
49639867981889536,pl,positive,im funny im funny yes 
61635218712436736,pl,positive,@luanlegacy win epic win  ;)
62337958916788224,pl,positive,@jazzy5680 now u got 2 followerz 
59027652182421504,pl,positive,@Gaby_GD 
60031863229657088,pl,positive,"@Myska_ @paulinecarlitos  no to faktycznie się nie opłaca, mam nadzieję, że z berlinem ci wypali "
49957173576470528,pl,positive,@Josiestweet Can't wait for OK mag tomorrow!  xx
61765650934284288,pl,positive,@bizzsjfc Aye twice 
58107468835860480,pl,positive,@AnnlovesJBieebs Ale z czym okej.? 
59847545756712960,pl,positive,@JAVIERGMONTEZ :O fiu fiu q guapiz  muchoo éxito
59687177042407425,pl,positive,#nowfollowing @JfknNASTY #TFB 
56746817437708288,pl,positive,Done! MU 2 - 0 Fulham..Glory Glory MU! Nite2 all 
62079829457108992,pl,positive,ayeee masku janjiin aku lensa uwowowowowowo 
59091352524300288,pl,positive,@pikach0de 
56929094851510272,pl,positive,i want to swim .. 
49560671901335552,pl,positive,@jemini2009 Wooo okay babe  &lt;3
51323389817790465,pl,positive,@iamWIWIE TOMOOOOOOOOOO! 
56908299026694144,pl,positive,ESPN MLB - FINAL - NYM 8 WAS 4 - WP: NYM C Capuano (1-0) LP: WAS T Gorzelanny (0-1) SV: NYM F Rodriguez (1)  
58276196324093952,pl,positive,@PaulieKoch  W0ULD Y0U LIK3 T0 F0LL0W M3?! 
59408493140119552,pl,positive,@JUDY_Lawinski yea.. 
50237025026191360,pl,positive,lunch break!! 
60625156325912576,pl,positive,@BabyGrace 
62355795760791552,pl,positive,@katostephie i just do it to bug my mama 
59163139408797696,pl,positive,@gosia_the_great w każdym razie dzięki za info 
59613010314002433,pl,positive,@MiskoBobic ako ih to ne otera ništa drugo neće 
61098184272916481,pl,positive,@GOOD Oprah 
50838742029713408,pl,positive,http://blip.pl/s/404836417 o mamo! słodziak   http://rdir.pl/_roG1z
51427932001931265,pl,positive,@__Lu__Lu__ yayyyyyyy 
60180295068033024,pl,positive,@yoniegirl201 kk 
59234781472358400,pl,positive,@WeAreRizkiers @cwe_95 anak mana niie 
62793236678324224,pl,positive,"#PolishBeliebers #KidrauhlToPoland Dziewczyny, zrobiłam ikonkę  Już dużo osób ją ma... Możecie ode mnie ściągnąć! &lt;3 AWW C'MON!"
49890468066103297,pl,positive,@nickole_lelosaa no prob 
49147616805650433,pl,positive,@Maxie5591 ok 
58084602375454720,pl,positive,Wihiii! 
49045572522487808,pl,positive,"Dluan aja follow ak , ntr ku follback  @augustio_boy @nieno_ardian @Irwan_Dodak @ArroMay @dika_m2p @Alhud89 @andypramana39 @Musa_krypton"
58692751889408000,pl,positive,@bkashawna Okayy 
60295315684724736,pl,positive,A moze tak na chwilke chociaz uciec i wystawić mordke do słońca ? 
57558250698194944,pl,positive,@BroadwayGirlNYC Good luck 
62680450082160640,pl,positive,Hi I'm ron jeremy  !
60244300000276480,pl,positive,Wowowo . . #BID ► Batman is dead 
57458753661968384,pl,positive,@xia0yu okay.. 
50902631064936448,pl,positive, @zarshane
49619162443694080,pl,positive,@HodaRagab LOL 7ader! 3araby wala agnaby ??! 
50458730147487745,pl,positive,"ha, yor a funny baby! .. "
58245603641139201,pl,positive,@jyruswood 
50907763362103296,pl,positive,@fremde zapowiada sie pocieszny pierwszy semestr z Toba na Uni. Ciekawe czy pobijesz moje akcje i madre teksty 
50575730173689856,pl,positive,"@sandradryjaxX kup sobie  ja pobiegłam od razu po szkole, haha ;)"
60405484276023298,pl,positive,Watching #TOWIE 
57875181670117376,pl,positive,Szymek. ^^ 
60443767127289856,pl,positive,@MrsAngel9595 http://allegro.pl/show_item.php?item=1572858075 - jak mzoesz wklej go na twittera  pomożesz mi
56809742022082561,pl,positive,windows downnnn! 
51303029848289281,pl,positive,"@ivabeonline żyję, byłam nawet na wszystkich lekcjach. XD cud na Odrą.  a na wolnej lekcji poszłam do domu na obiad, a potem wróciłam."
60612545244958721,pl,positive,@chitrairachitra @funnyfunky cek DM 
56248144823975936,pl,positive,Fuji w/mom  http://yfrog.com/hs31jpdj
61264401117880320,pl,positive,@kalyprz siiii!!!! 
61898140013432832,pl,positive,@gRzEgOrZlUb Tak to to gorsze zło 
61954434560823296,pl,positive,@ohjahahaaamie pick a date pick a date apilon nato kat 
58984268667424769,pl,positive,@Stephaniaxox okay. 
50831050863165440,pl,positive,@jaydmonsta oh poor baby 
50851678320214016,pl,positive,@nadddda ok 
11650415816876032,pl,positive,@AyoMattD i win 
61479308417445889,pl,positive,haha ja wiem.. bo Cody czyta blog #polishsimpsonizers i wiedział co się święci  . dlatego nie wchodzi . xD
50361370935435264,pl,positive,@1anobody   DM 
50555687004160000,pl,positive,"Idę na rolki, kto ze mną ? "
50943356301348865,pl,positive,@tomomon2 I'm ok Momi dunt worry  kobkhunka
59456734804180994,pl,positive,@iprokopczyk tem msn ? 
62401649406259200,pl,negative,@Rosha_ocha hMmMm 
50617775231729664,pl,negative,@swanalena8 ja 
58063517969952768,pl,negative,nie lun\bię kiedy niektórzy mnie unfallowują  :'(
51429620611940352,pl,negative,"@DesiParawi Eci, olan smo nikah tgl 8 bsk. Syg le t bs hdr "
49280530612633600,pl,negative,@saraja i wish. anxiety. 
56261079294152704,pl,negative,Natatawa ko sa pinapanood ko. )))) Namimiss ko tuloy baby ko. 
60028702137925632,pl,negative,@Daniel_Rosas 
49807822153719809,pl,negative,Day cham tomorrow  ?? #skool
57971095223021568,pl,negative,@nikofbaby sorry nikster too late 
60698738548686848,pl,negative,Święta  .... i dużo ... nauki 
60125047829962753,pl,negative,@Wolfbane7590 
49782101725282304,pl,negative,Off to eastwood in 5. Pagod nako men. Gagawa pako paperworks 
48818040007172096,pl,negative,"@SwaggMeOutBitch ohhhhhhhh, ok i cool! "
62069296150478848,pl,negative,Insomnia 
49308131095879681,pl,negative,@mimi_wolfeen poooooooooxa irmã 
61718952249802754,pl,negative,@MelanieLvg  mi niña &lt;3
56693957312253952,pl,negative,kmu dmna? 
11550487325179904,pl,negative,@nikipaniki 
50659934265815040,pl,negative,sore stomach 
57065747167457280,pl,negative,@_dolce_ 
58339824234545154,pl,negative,Stomach roaring. 
58170988843646976,pl,negative,@Chachachooo Awwwww &lt;/3 sobrang mamimiss ka namin 
50667106852806656,pl,negative,I wanna be in miami  muawwww
51095181927264257,pl,negative,@JpPliego 
58592081727324160,pl,negative,I wanaa go for a run 
50000790403809280,pl,negative,@skiinny 
60578312312991744,pl,negative,@crazie_kat  ok
62289325978689536,pl,negative,@nicolekor 
50112121295482880,pl,negative,gusto ko ng mag uwian... waaah.... gutom n ko. 
59150231085907968,pl,negative,N tearz 
58158546143019008,pl,negative,Back ;&amp; 7ta ma 5lw l.wa7d yt'hna w hwa jals ytrwsh 
60451289661837312,pl,negative,@stephOnezy Aww baby doll 
59137062133182464,pl,negative,@katejudochop I didn't see any! 
62473161471569920,pl,negative,Mane bieeee nii 
61213241690439681,pl,negative,@J__Spot 
57969247661457409,pl,negative,- now i jst wna go to bed 
56009040504946688,pl,negative,I'm sad 
60821733120286720,pl,negative,@lexiemelanie 
58976129180123136,pl,negative,@Aja934 jo tak pp já jdu směr postel... ještě musím počkat ségra chce na Fb  ale už jdu do postele tak dobrou noc :-* ♥
61453080226578432,pl,negative,"@Domciulka ojej, współczuję im  ale w sumie to one znają Justina.. tak z widzenia "
58671454249697284,pl,negative,@ntpvictor me piska? 
61049554975473664,pl,negative,@sacha_x  okeee 
62677656566640640,pl,negative,Elnet 9ayer mleeeeee8 allah e3ez San Diego 3 M.B download 
59085404158177280,pl,negative,capek meka we 
59801733584527360,pl,negative,@GDUCV Profe 
56147590990938112,pl,negative,To toda drog 
56160560735195136,pl,negative,@bubafany nhaa 
60661055419973632,pl,negative,@ogiediaz 
62825982431727616,pl,negative,@Daria_JB nie rozumiem czmu są w TT a my nie  #KidrauhlToPoland
59234226909884416,pl,negative,stomachache 
56936864698994688,pl,negative,@eddwin  xD
11605917254549504,pl,negative,@Jony01dobairro 
49388234987417600,pl,negative,@ChuleKruczynski  
58390586847272960,pl,negative,2days mc! Stomach flu 
56961913191530496,pl,negative,@datBxtchBonnie  
60913515451527168,pl,negative,@NatGoes_HAM okayy ; imu 
59694366528241664,pl,negative,@Ratnieks_Pauls tad ej kaksinat 
50826899542392832,pl,negative,komputer oh komputer 
58474513448435712,pl,negative,Tanpamu 
60082850103443457,pl,negative,"Boli! Przydałby się sportowy masaż, ale mam tylko kijek  Mimo to jest już lepiej, jutro rozbieganie..."
50745665319473152,pl,negative,@fiestymack Awww 
59965218947743744,pl,negative,@_A_S_h_R_a_f_ @Nizardrone go and die 
56916200772485121,pl,negative,"@iuc_uci DHASHADU, prq? "
57903105207054336,pl,negative,"Ale fajnie było na twitcamie z wami szkoda, że tak mało was było  a i dziękuje, że lubicie słuchać jak śpiewam xD haha &lt;3"
56082045172056066,pl,negative,@bradnies1 sorry 
58426676304019456,pl,negative,Gosh..! I'm weak!!! 
61558426597199873,pl,negative,@_ZADDY 
48728814267797504,pl,negative,Qe chato ta aki 
50169184608460800,pl,negative,Oh no God 
62304598202925056,pl,negative,to com 2.1 em biologia 
61501587817889793,pl,negative,Nie wyświetla mi się zdjęcie na tym linku co dał Justin 
62237893250400256,pl,negative,@sahn_sauniere me chama no msn now 
11626446682329088,pl,negative,@Cynn92 haha poor dobby  R.I.P
56832844751835136,pl,negative,ich glaub @CrazyKaddie ist tot 
58848793264795648,pl,negative,Dear 3ami Waleed.. Tara e6rdoony mn baitek  @FatmaWB
56896459697700865,pl,negative,@NastyKittyJ I am 
61299934955180033,pl,negative,Uii qe  D E C E P C I O N 
51416834636922880,pl,negative,@StylesArmy Oh god 
58316653150224384,pl,negative,#TôDodói   
62649312634609664,pl,negative,@Jemma_NaNaNa so no story 
50079077201215488,pl,negative,@brandoli0n I’m 14 
11547892523204610,pl,negative,O GATO COMEU O BROWNIE 
60067490809651200,pl,negative,@inkodalocczta10 nawww I'm dry foo 
56022028121161729,pl,negative,Pray for japan ... 
60931541525741568,pl,negative,@143_KathDiego_ OO nga ! 
62283306464587776,pl,negative,@Oh_My_Ty okay  ..  x
50384423232876545,pl,negative,PQP to puto 
59541190403567617,pl,negative,Crazy dream 
58932871146115073,pl,negative,"Kurwa nie chcę iść do tego Kościoła -.- Ale to przez to, że źle się czuję "
56492873184591872,pl,negative,Cuaca ky gni jd tmbh mlez wat skul... 
50506696715542528,pl,negative,@Mram_a @zez_m ya Lbbaa entoo &quot;) allah yry7 glbkum zy ma ga3den try7onii  A7bkumm &lt;3&lt;3 &quot;)
61151384006950912,pl,negative,Bye!  ttyl!  
57892677194219520,pl,negative,@Mcanieto xq????? 
58643875195133953,pl,negative,Bye roomieeeee 
61872639630786563,pl,negative,Da @chaioss  aku br baca smsmu
57422254480441344,pl,negative,HSAP Tomorrow In Room A232 
60244290865074176,pl,negative,natawa ako  ) http://mariesddy.tumblr.com/post/4742143819
57425537467039744,pl,negative,Wow #PrayForJapan  
62145542838423553,pl,negative,@IzaazIzaaz 
48764274377633793,pl,negative,@ifucdani 2.99 